"year","week","date","unit","recent","origin","value"
"2020","8","2020-02-19","adm","rall","och","36840"
"2020","9","2020-02-26","adm","rall","och","28613"
"2020","10","2020-03-04","adm","rall","och","20361"
"2020","11","2020-03-11","adm","rall","och","5516"
"2020","12","2020-03-18","adm","rall","och","0"
"2020","13","2020-03-25","adm","rall","och","0"
"2020","14","2020-04-01","adm","rall","och","0"
"2020","15","2020-04-08","adm","rall","och","0"
"2020","16","2020-04-15","adm","rall","och","0"
"2020","17","2020-04-22","adm","rall","och","0"
"2020","18","2020-04-29","adm","rall","och","0"
"2020","19","2020-05-06","adm","rall","och","0"
"2020","20","2020-05-13","adm","rall","och","0"
"2020","21","2020-05-20","adm","rall","och","0"
"2020","22","2020-05-27","adm","rall","och","0"
"2020","23","2020-06-03","adm","rall","och","4679"
"2020","24","2020-06-10","adm","rall","och","5286"
"2020","25","2020-06-17","adm","rall","och","3077"
"2020","26","2020-06-24","adm","rall","och","3343"
"2020","27","2020-07-01","adm","rall","och","2283"
"2020","28","2020-07-08","adm","rall","och","1920"
"2020","29","2020-07-15","adm","rall","och","1982"
"2020","30","2020-07-22","adm","rall","och","1942"
"2020","31","2020-07-29","adm","rall","och","1753"
"2020","32","2020-08-05","adm","rall","och","1638"
"2020","33","2020-08-12","adm","rall","och","3502"
"2020","34","2020-08-19","adm","rall","och","11185"
"2020","35","2020-08-26","adm","rall","och","16150"
"2020","36","2020-09-02","adm","rall","och","10451"
"2020","37","2020-09-09","adm","rall","och","7607"
"2020","38","2020-09-16","adm","rall","och","10703"
"2020","39","2020-09-23","adm","rall","och","14334"
"2020","40","2020-09-30","adm","rall","och","22111"
"2020","41","2020-10-07","adm","rall","och","15699"
"2020","42","2020-10-14","adm","rall","och","9186"
"2020","43","2020-10-21","adm","rall","och","5650"
"2020","44","2020-10-28","adm","rall","och","5509"
"2020","45","2020-11-04","adm","rall","och","4237"
"2020","46","2020-11-11","adm","rall","och","4347"
"2020","47","2020-11-18","adm","rall","och","5562"
"2020","48","2020-11-25","adm","rall","och","3842"
"2020","49","2020-12-02","adm","rall","och","3241"
"2020","50","2020-12-09","adm","rall","och","895"
"2020","51","2019-12-18","adm","rall","och","0"
"2020","52","2019-12-25","adm","rall","och","0"
"2021","1","2020-12-30","adm","rall","och","0"
"2021","2","2021-01-06","adm","rall","och","0"
"2021","3","2021-01-13","adm","rall","och","0"
"2021","4","2021-01-20","adm","rall","och","0"
"2021","5","2021-01-27","adm","rall","och","0"
"2021","6","2021-02-03","adm","rall","och","0"
"2021","7","2021-02-10","adm","rall","och","0"
"2021","8","2021-02-17","adm","rall","och","0"
"2021","9","2021-02-24","adm","rall","och","29"
"2021","10","2021-03-03","adm","rall","och","0"
"2021","11","2021-03-10","adm","rall","och","0"
"2021","12","2021-03-17","adm","rall","och","70"
"2021","13","2021-03-24","adm","rall","och","318"
"2021","14","2021-03-31","adm","rall","och","173"
"2021","15","2021-04-07","adm","rall","och","0"
"2021","16","2021-04-14","adm","rall","och","167"
"2021","17","2021-04-21","adm","rall","och","2054"
"2021","18","2021-04-28","adm","rall","och","3750"
"2021","19","2021-05-05","adm","rall","och","3597"
"2021","20","2021-05-12","adm","rall","och","4846"
"2021","21","2021-05-19","adm","rall","och","4926"
"2021","22","2021-05-26","adm","rall","och","5339"
"2021","23","2021-06-02","adm","rall","och","11840"
